Year,Age,Sex,mx
1842,93,Female,0.32819
1842,93,Male,0.33406
1842,94,Female,0.35208
1842,94,Male,0.35108
1842,95,Female,0.37740
1842,95,Male,0.36813
1842,96,Female,0.40412
1842,96,Male,0.38531
1842,97,Female,0.43213
1842,97,Male,0.40234
1842,98,Female,0.46165
1842,98,Male,0.41943
1842,99,Female,0.49345
1842,99,Male,0.43846
1842,100,Female,0.52761
1842,100,Male,0.45748
1842,101,Female,0.56607
1842,101,Male,0.47886
1842,102,Female,0.60906
1842,102,Male,0.51490
1842,103,Female,0.65146
1842,103,Male,0.57433
1842,104,Female,0.71451
1842,104,Male,0.66273
1842,105,Female,0.82759
1842,105,Male,1.17494
1842,106,Female,0.96267
1842,106,Male,NA
1842,107,Female,1.43195
1842,107,Male,NA
1842,108,Female,4.17647
1842,108,Male,NA
1842,109,Female,NA
1842,109,Male,NA
1842,110,Female,NA
1842,110,Male,NA
1843,0,Female,0.14823
1843,0,Male,0.18375
1843,1,Female,0.06331
1843,1,Male,0.06605
1843,2,Female,0.03363
1843,2,Male,0.03338
1843,3,Female,0.02320
1843,3,Male,0.02282
1843,4,Female,0.01703
1843,4,Male,0.01713
1843,5,Female,0.01304
1843,5,Male,0.01331
1843,6,Female,0.01016
1843,6,Male,0.01051
1843,7,Female,0.00768
1843,7,Male,0.00803
1843,8,Female,0.00601
1843,8,Male,0.00636
1843,9,Female,0.00510
1843,9,Male,0.00540
1843,10,Female,0.00474
1843,10,Male,0.00494
1843,11,Female,0.00466
1843,11,Male,0.00470
1843,12,Female,0.00475
1843,12,Male,0.00462
1843,13,Female,0.00501
1843,13,Male,0.00472
1843,14,Female,0.00548
1843,14,Male,0.00501
1843,15,Female,0.00614
1843,15,Male,0.00547
1843,16,Female,0.00677
1843,16,Male,0.00603
1843,17,Female,0.00730
1843,17,Male,0.00667
1843,18,Female,0.00782
1843,18,Male,0.00730
1843,19,Female,0.00831
1843,19,Male,0.00789
1843,20,Female,0.00872
1843,20,Male,0.00844
1843,21,Female,0.00886
1843,21,Male,0.00886
1843,22,Female,0.00872
1843,22,Male,0.00911
1843,23,Female,0.00870
1843,23,Male,0.00923
1843,24,Female,0.00877
1843,24,Male,0.00921
1843,25,Female,0.00881
1843,25,Male,0.00908
1843,26,Female,0.00901
1843,26,Male,0.00905
1843,27,Female,0.00941
1843,27,Male,0.00914
1843,28,Female,0.00971
1843,28,Male,0.00920
1843,29,Female,0.00981
1843,29,Male,0.00922
1843,30,Female,0.00989
1843,30,Male,0.00923
1843,31,Female,0.00995
1843,31,Male,0.00922
1843,32,Female,0.01001
1843,32,Male,0.00920
1843,33,Female,0.01012
1843,33,Male,0.00932
1843,34,Female,0.01032
1843,34,Male,0.00960
1843,35,Female,0.01061
1843,35,Male,0.01001
1843,36,Female,0.01121
1843,36,Male,0.01069
1843,37,Female,0.01222
1843,37,Male,0.01171
1843,38,Female,0.01298
1843,38,Male,0.01254
1843,39,Female,0.01324
1843,39,Male,0.01298
1843,40,Female,0.01337
1843,40,Male,0.01330
1843,41,Female,0.01309
1843,41,Male,0.01327
1843,42,Female,0.01241
1843,42,Male,0.01287
1843,43,Female,0.01206
1843,43,Male,0.01277
1843,44,Female,0.01210
1843,44,Male,0.01303
1843,45,Female,0.01226
1843,45,Male,0.01343
1843,46,Female,0.01290
